Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint Pete Beach,US,27.7253,-82.7412,63.34,72,0,8.05,clear sky
1,Castro,BR,-24.7911,-50.0119,66.67,91,48,4.47,scattered clouds
2,Qaanaaq,GL,77.484,-69.3632,-9.56,80,93,6.17,overcast clouds
3,Honningsvag,NO,70.9821,25.9704,19.54,86,100,7.25,light snow
4,Atuona,PF,-9.8,-139.0333,78.08,77,19,12.91,light rain
5,Vaini,TO,-21.2,-175.2,86.16,74,40,13.8,scattered clouds
6,Osoyoos,CA,49.0331,-119.4524,48.33,61,54,4.61,broken clouds
7,Bairiki,KI,1.3292,172.9752,86.0,70,20,9.22,few clouds
8,Mataura,NZ,-46.1927,168.8643,62.47,48,37,2.28,scattered clouds
9,Kambove,CD,-10.8764,26.5969,61.7,98,99,3.2,light rain
10,Iqaluit,CA,63.7506,-68.5145,-14.31,62,100,6.91,light snow
11,Nador,MA,35.174,-2.9287,52.05,71,0,3.44,clear sky
12,Rikitea,PF,-23.1203,-134.9692,78.62,71,66,12.82,broken clouds
13,Airai,TL,-8.9266,125.4092,62.53,85,40,2.28,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,71.91,83,67,18.97,broken clouds
15,Pisco,PE,-13.7,-76.2167,73.45,64,0,20.71,clear sky
16,Kapaa,US,22.0752,-159.319,82.38,60,40,16.11,scattered clouds
17,Kavieng,PG,-2.5744,150.7967,81.99,77,97,6.24,moderate rain
18,Karratha,AU,-20.7377,116.8463,85.93,56,76,4.52,broken clouds
19,Quatre Cocos,MU,-20.2078,57.7625,81.09,85,87,14.56,light rain
20,Olafsvik,IS,64.8945,-23.7142,32.5,71,100,16.42,light snow
21,Albany,US,42.6001,-73.9662,23.27,55,100,8.37,overcast clouds
22,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,65,0,13.8,clear sky
23,Busselton,AU,-33.65,115.3333,66.04,71,0,12.26,clear sky
24,Tabuk,PH,17.4189,121.4443,70.79,93,38,1.79,scattered clouds
25,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,broken clouds
26,Saint George,US,37.1041,-113.5841,73.87,14,0,3.0,clear sky
27,Muromtsevo,RU,56.3724,75.2418,6.42,96,99,6.49,overcast clouds
28,Ilulissat,GL,69.2167,-51.1,10.42,85,100,26.46,heavy shower snow
29,Thompson,CA,55.7435,-97.8558,-5.64,71,20,2.3,few clouds
30,Barrow,US,71.2906,-156.7887,-27.38,68,0,9.22,clear sky
31,Newnan,US,33.3807,-84.7997,46.6,31,0,4.61,clear sky
32,New Norfolk,AU,-42.7826,147.0587,63.66,65,96,3.13,overcast clouds
33,Torbay,CA,47.6666,-52.7314,35.58,75,75,14.97,broken clouds
34,Coquimbo,CL,-29.9533,-71.3436,67.73,68,0,11.5,clear sky
35,Lebu,CL,-37.6167,-73.65,62.22,81,75,6.62,broken clouds
36,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,97,8.05,overcast clouds
37,Fortuna,US,40.5982,-124.1573,72.43,100,100,6.91,overcast clouds
38,Makakilo City,US,21.3469,-158.0858,79.61,47,0,11.5,clear sky
39,Cape Town,ZA,-33.9258,18.4232,68.41,80,20,18.41,few clouds
40,Butaritari,KI,3.0707,172.7902,80.8,79,68,12.53,moderate rain
41,Pauini,BR,-7.7136,-66.9764,74.03,98,95,2.13,overcast clouds
42,Saint-Louis,SN,16.3333,-15.0,74.84,15,81,9.93,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,20.71,few clouds
44,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.26,89,5,11.74,clear sky
45,Provideniya,RU,64.3833,-173.3,-3.89,71,0,8.95,clear sky
46,Avarua,CK,-21.2078,-159.775,82.45,74,20,4.61,light rain
47,Zlitan,LY,32.4674,14.5687,55.85,65,60,8.23,broken clouds
48,Tasiilaq,GL,65.6145,-37.6368,21.36,93,100,14.36,light snow
49,Bethel,US,41.3712,-73.414,29.1,67,100,6.91,overcast clouds
50,Kodiak,US,57.79,-152.4072,38.71,65,0,10.36,clear sky
51,Victoria,HK,22.2855,114.1577,60.24,83,100,8.99,overcast clouds
52,Kuytun,RU,54.3419,101.5036,-27.67,100,100,3.2,overcast clouds
53,Denzlingen,DE,48.0667,7.8833,42.49,65,11,6.17,few clouds
54,Huilong,CN,31.8111,121.655,42.04,84,0,9.46,clear sky
55,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,16.11,few clouds
56,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,6.91,broken clouds
57,Norman Wells,CA,65.282,-126.8329,-7.56,64,100,5.75,overcast clouds
58,Gilbues,BR,-9.8317,-45.3439,74.71,82,92,1.23,moderate rain
59,Zhigansk,RU,66.7697,123.3711,-37.35,100,56,1.54,broken clouds
60,Sohag,EG,26.557,31.6948,52.09,44,0,7.4,clear sky
61,Gushikawa,JP,26.3544,127.8686,63.99,94,75,8.05,light rain
62,Santa Luzia,BR,-19.7697,-43.8514,70.7,91,75,2.3,broken clouds
63,Bluff,NZ,-46.6,168.3333,62.8,65,34,0.34,scattered clouds
64,Fallon,US,39.4735,-118.7774,70.29,16,40,0.0,scattered clouds
65,Ahipara,NZ,-35.1667,173.1667,68.63,57,86,8.86,overcast clouds
66,Port Lincoln,AU,-34.7333,135.8667,67.86,80,96,10.0,overcast clouds
67,Bubaque,GW,11.2833,-15.8333,78.08,68,3,12.82,clear sky
68,Hithadhoo,MV,-0.6,73.0833,82.04,73,81,10.74,broken clouds
69,Kharp,RU,66.8014,65.8081,-12.77,100,100,2.1,overcast clouds
70,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,74,17,5.41,few clouds
71,Mount Gambier,AU,-37.8333,140.7667,67.91,68,75,11.5,broken clouds
72,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,42,12.03,light rain
73,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,40,8.05,light rain
74,Ndungu,TZ,-4.3667,38.05,73.38,89,94,1.97,overcast clouds
75,Ahar,IR,38.4774,47.0699,27.25,83,98,0.43,overcast clouds
76,Assomada,CV,15.1,-23.6833,67.55,74,61,12.5,broken clouds
77,Gravatai,BR,-29.9444,-50.9919,73.87,91,40,6.91,scattered clouds
78,Marquette,US,46.5333,-87.6335,8.33,70,99,1.12,overcast clouds
79,Tiksi,RU,71.6872,128.8694,-12.68,93,12,11.59,few clouds
80,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,0.0,clear sky
81,Nikolskoye,RU,59.7035,30.7861,35.87,92,100,12.21,light snow
82,Mar Del Plata,AR,-38.0023,-57.5575,66.22,70,0,3.44,clear sky
83,Tessalit,ML,20.1986,1.0114,64.22,19,11,10.6,few clouds
84,Kloulklubed,PW,7.0419,134.2556,79.3,82,100,22.91,overcast clouds
85,Calabozo,VE,8.9242,-67.4293,87.85,31,76,4.81,broken clouds
86,Georgetown,MY,5.4112,100.3354,79.9,90,40,3.44,scattered clouds
87,Touros,BR,-5.1989,-35.4608,83.3,76,8,14.0,clear sky
88,George,ZA,-33.963,22.4617,65.75,94,75,3.44,broken clouds
89,Halifax,CA,44.6453,-63.5724,28.45,82,100,6.91,overcast clouds
90,Mwense,ZM,-10.3845,28.698,64.65,97,100,1.41,light rain
91,Boda,CF,4.3189,17.4695,75.96,22,100,2.17,overcast clouds
92,Kargil,IN,34.5667,76.1,-1.23,95,100,2.48,overcast clouds
93,Saint-Joseph,RE,-21.3667,55.6167,77.38,85,21,12.37,light rain
94,Bud,US,39.447,-86.1758,22.12,75,100,9.71,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,63.05,57,95,1.97,overcast clouds
96,Alamor,EC,-4.0181,-80.0197,68.68,93,96,2.84,moderate rain
97,Shalinskoye,RU,55.7228,93.7594,-22.11,100,99,4.43,overcast clouds
98,Morondava,MG,-20.2833,44.2833,80.62,82,85,1.9,light rain
99,Nara,JP,34.6851,135.8049,43.92,47,100,2.73,overcast clouds
100,Baykit,RU,61.67,96.37,-20.51,100,86,3.69,overcast clouds
