City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
5,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
12,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
16,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Kavieng,PG,81.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
18,Karratha,AU,85.93,broken clouds,-20.7377,116.8463,ibis Styles Karratha
19,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
38,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
40,Butaritari,KI,80.8,moderate rain,3.0707,172.7902,Isles Sunset Lodge
44,Sao Joao Da Barra,BR,76.26,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
46,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
55,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
67,Bubaque,GW,78.08,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
68,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
72,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
80,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
84,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
85,Calabozo,VE,87.85,broken clouds,8.9242,-67.4293,Hotel Giardini
86,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
87,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
91,Boda,CF,75.96,overcast clouds,4.3189,17.4695,
93,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
98,Morondava,MG,80.62,light rain,-20.2833,44.2833,La Case Bambou
101,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Mahajanga,MG,77.5,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
108,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
119,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
125,Mapiripan,CO,86.07,overcast clouds,2.8892,-72.1256,Monserrate
126,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
127,Caravelas,BR,76.19,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
133,Villa Union,MX,80.56,broken clouds,23.2,-106.2333,My Fantasy Auto-Hotel
137,Ewo,CG,75.38,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
138,Punta Alta,AR,80.55,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
143,Bima,ID,77.14,overcast clouds,-8.4667,118.7167,Lambitu Hotel
145,Axim,GH,78.1,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
149,Vao,NC,79.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
150,Buala,SB,82.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
154,Ulladulla,AU,75.78,overcast clouds,-35.35,150.4667,Sandpiper Motel
157,Moerai,PF,78.87,overcast clouds,-22.4333,-151.3333,Le Manotel
163,Coihaique,CL,76.95,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
164,Arraial Do Cabo,BR,75.81,clear sky,-22.9661,-42.0278,Pousada Porto Praia
170,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
172,Acarau,BR,79.72,few clouds,-2.8856,-40.12,castelo pizzaria
173,Nelson Bay,AU,79.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
174,Itaituba,BR,75.58,scattered clouds,-4.2761,-55.9836,Hotel Campos
180,Kouroussa,GN,75.85,clear sky,10.65,-9.8833,Hotel Paillote
182,Kieta,PG,82.06,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
187,Guerrero Negro,MX,81.18,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
193,Ukiah,US,79.52,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
194,Guarapari,BR,75.09,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
199,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
202,Poum,NC,82.47,overcast clouds,-20.2333,164.0167,
204,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
208,Lahaina,US,80.6,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
217,Dzaoudzi,YT,76.89,few clouds,-12.7887,45.2699,Le Rocher
218,Jalingo,NG,78.66,few clouds,8.8833,11.3667,Debright Motel
221,Mulchen,CL,80.11,scattered clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
225,Sinnamary,GF,76.59,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
228,Broken Hill,AU,85.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
244,Pemangkat,ID,77.29,overcast clouds,1.1667,108.9667,Ramah Kost KITA
255,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
259,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
260,Aitape,PG,80.06,overcast clouds,-3.1374,142.3475,
